,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,underground,price_per_meter
140,Москва,9,9,1,38.28,8099436,2025,25.4,4.3,Москва,Рассказовка,211584
141,Москва,2,9,1,40.79,8105789,2025,11.0,21.3,Москва,Рассказовка,198720
142,Москва,8,23,1,37.74,8188091,2025,12.4,12.1,Москва,Румянцево,216960
143,Москва,2,23,1,35.13,8150776,2025,9.7,16.4,Москва,Румянцево,232017
144,Москва,11,17,1,38.14,8231415,2025,10.5,19.3,Москва,Филатов Луг,215821
145,Москва,3,23,1,41.5,8263480,2026,13.1,13.7,Москва,Филатов Луг,199120
146,Москва,16,16,1,38.2,8254881,2024,10.4,11.3,Москва,Филатов Луг,216096
147,Москва,2,16,1,38.6,8275112,2024,10.5,11.3,Москва,Филатов Луг,214381
148,Москва,5,17,1,40.0,8298600,2025,10.3,21.3,Москва,Филатов Луг,207465
149,Москва,3,15,1,38.84,8298207,2024,10.5,19.2,Москва,Щербинка,213651
150,Москва,2,2,1,15.1,8300000,1900,8.1,2.0,Басманный,Курская,549668
151,Москва,6,28,1,37.9,8318291,2027,9.2,14.0,Крюково,Зеленоград — Крюково,219479
152,Москва,6,17,1,40.0,8318880,2025,10.3,21.3,Москва,Филатов Луг,207972
153,Москва,1,8,1,34.2,8379000,2024,10.7,15.7,Бибирево,Алтуфьево,244999
154,Москва,17,17,1,35.98,8522618,2024,17.3,10.5,Москва,Щербинка,236870
155,Москва,6,14,1,34.8,8509643,2026,11.4,14.8,Тимирязевский,Окружная,244529
156,Москва,5,9,1,34.7,8541613,2025,13.4,9.2,Москва,Бунинская аллея,246155
157,Москва,11,17,1,36.0,8631143,2024,10.6,18.1,Москва,Щербинка,239753
158,Москва,3,11,1,40.9,8645810,2026,9.5,17.1,Южное Бутово,Щербинка,211388
159,Москва,3,10,1,41.28,8645092,2024,10.6,20.9,Москва,Щербинка,209425
160,Москва,2,28,1,40.8,8696764,2027,9.1,16.6,Крюково,Зеленоград — Крюково,213155
161,Москва,7,9,1,34.7,8738248,2024,12.3,12.0,Москва,Бунинская аллея,251822
162,Москва,5,12,1,41.5,8740367,2025,11.0,21.4,Москва,Филатов Луг,210611
163,Москва,4,9,1,36.3,8822521,2026,13.9,11.2,Москва,Толстопальцево,243044
164,Москва,6,9,1,34.3,8829314,2026,12.8,8.9,Москва,Толстопальцево,257414
165,Москва,6,9,1,34.8,8825699,2026,12.5,12.4,Москва,Толстопальцево,253612
166,Москва,2,9,1,42.5,8838087,2026,13.1,21.4,Москва,Филатов Луг,207954
168,Москва,2,9,1,36.7,8829633,2026,14.5,12.0,Москва,Толстопальцево,240589
169,Москва,10,23,1,40.7,8950838,2025,14.4,13.4,Москва,Румянцево,219922
170,Москва,1,16,1,44.19,8912946,2025,16.3,19.5,Молжаниновский,Новоподрезково,201695
171,Москва,15,15,1,38.35,8967609,2025,11.3,18.7,Молжаниновский,Новоподрезково,233835
172,Москва,3,9,1,36.9,9069252,2025,14.3,10.8,Москва,Улица Горчакова,245779
173,Москва,9,15,1,37.2,9083057,2026,14.1,13.4,Москва,Бунинская аллея,244168
175,Москва,2,23,1,28.1,9198001,2026,21.1,2.0,Отрадное,Владыкино,327330
176,Москва,11,23,1,41.87,9123111,2025,13.0,16.4,Москва,Румянцево,217891
177,Москва,6,14,1,36.55,9139315,2025,11.2,16.4,Москва,Щербинка,250049
178,Москва,6,28,1,30.6,9210600,2025,20.400000000000002,10.2,Отрадное,Отрадное,301000
179,Москва,8,9,1,56.0,9200000,2018,20.1,23.0,Москва,Крёкшино,164285
180,Москва,4,10,1,37.12,9220133,2025,17.5,11.2,Москва,Щербинка,248387
